
dataset,avg_accuracy,overall_accuracy,kappa,training_time,testing_time,total_time
BOT,
,10.551,11.491,4.279,70.14834380149841,0.706488847732544,70.14834380149841
,14.244,14.911,8.120,68.46003365516663,0.7166781425476074,68.46003365516663
,7.260,7.456,-0.190,68.67830419540405,0.7073616981506348,68.67830419540405
,12.334,13.646,6.649,69.36798286437988,0.7172470092773438,69.36798286437988
,10.111,10.328,3.589,68.56070113182068,0.7231307029724121,68.56070113182068
,7.112,7.456,0.243,69.0789577960968,0.7209393978118896,69.0789577960968
,17.995,20.315,13.603,68.88579440116882,0.718193769454956,68.88579440116882
,7.209,7.592,0.333,69.10188817977905,0.7163217067718506,69.10188817977905
,10.719,11.491,4.165,69.60855531692505,0.7095980644226074,69.60855531692505
,15.256,15.219,8.490,68.53253936767578,0.7100956439971924,68.53253936767578
,7.905,6.190,-0.951,68.68672704696655,0.7127664089202881,68.68672704696655
,8.432,7.011,0.152,69.14964008331299,0.7113819122314453,69.14964008331299
,10.259,10.397,3.153,69.3054301738739,0.7147200107574463,69.3054301738739
,6.548,6.703,-0.146,69.35503005981445,0.7126379013061523,69.35503005981445
,10.978,12.380,4.756,69.18922853469849,0.71051025390625,69.18922853469849
,8.276,9.371,1.937,69.1454439163208,0.7176723480224609,69.1454439163208
,7.995,9.234,1.171,69.59716963768005,0.7218039035797119,69.59716963768005
,11.274,10.123,3.477,69.53883647918701,0.7203314304351807,69.53883647918701
,8.882,9.918,2.734,69.9856767654419,0.719649076461792,69.9856767654419
,6.017,6.430,-1.617,69.87050676345825,0.7133183479309082,69.87050676345825
,5.666,6.224,-1.578,70.17456316947937,0.7179534435272217,70.17456316947937
,10.482,11.970,4.622,70.51985836029053,0.7228524684906006,70.51985836029053
,7.905,6.190,-0.951,70.62600636482239,0.7203657627105713,70.62600636482239
,16.141,17.818,10.741,70.3087797164917,0.7118678092956543,70.3087797164917
,8.836,9.371,2.368,69.54504251480103,0.7162823677062988,69.54504251480103
,4.378,3.762,-3.588,69.81724858283997,0.7143831253051758,69.81724858283997
,15.174,13.748,6.686,69.68853807449341,0.714789867401123,69.68853807449341
,11.577,10.978,3.540,70.27676939964294,0.7166233062744141,70.27676939964294
,12.024,12.107,5.496,69.93584084510803,0.7166657447814941,69.93584084510803
,6.004,6.532,-0.505,69.95403242111206,0.7214531898498535,69.95403242111206
mean,9.91813333333333333333,10.21206666666666666666,3.02593333333333333333,69.50311565399169900000,.71580278873443603333,69.50311565399169900000
std dev.,3.30752509421907317581,3.70334070746340533830,3.86624694790984894509,.59837440130312785924,.00445041006893808382,.59837440130312785924
,9.91813333333333333333 +- 3.30752509421907317581,10.21206666666666666666 +- 3.70334070746340533830,3.02593333333333333333 +- 3.86624694790984894509,69.50311565399169900000 +- .59837440130312785924,.71580278873443603333 +- .00445041006893808382,69.50311565399169900000 +- .59837440130312785924
 
 
IP,
,14.120,19.220,11.485,79.71644234657288,1.6943495273590088,79.71644234657288
,16.990,27.693,19.611,66.26683902740479,1.6653873920440674,66.26683902740479
,18.755,32.808,22.244,66.83655881881714,1.668123722076416,66.83655881881714
,15.172,31.178,18.920,67.4030749797821,1.666715383529663,67.4030749797821
,15.440,26.704,17.660,67.63168478012085,1.6710021495819092,67.63168478012085
,13.919,26.997,16.861,66.7882194519043,1.6707568168640137,66.7882194519043
,17.029,26.105,16.600,67.30799126625061,1.6652746200561523,67.30799126625061
,15.236,24.683,16.256,66.98018145561218,1.6692595481872559,66.98018145561218
,18.628,28.084,17.519,67.25662899017334,1.7179439067840576,67.25662899017334
,15.142,28.460,18.301,67.29506325721741,1.676539659500122,67.29506325721741
,12.157,18.801,10.798,67.80599403381348,1.66365385055542,67.80599403381348
,12.779,27.693,14.825,67.6527636051178,1.6581437587738037,67.6527636051178
,15.522,16.585,11.075,68.01703977584839,1.6676156520843506,68.01703977584839
,14.061,20.098,12.897,68.0433361530304,1.697065830230713,68.0433361530304
,12.417,20.613,10.937,67.81665229797363,1.6703991889953613,67.81665229797363
,17.563,31.847,19.847,67.80545377731323,1.6711161136627197,67.80545377731323
,14.485,25.812,14.749,67.91929721832275,1.6715972423553467,67.91929721832275
,18.987,32.376,22.324,68.050852060318,1.6866564750671387,68.050852060318
,14.613,25.449,15.542,69.19883632659912,1.6745355129241943,69.19883632659912
,16.246,27.359,19.428,69.00306963920593,1.6694376468658447,69.00306963920593
,14.196,24.404,15.504,68.95108604431152,1.6639645099639893,68.95108604431152
,14.120,19.220,11.485,68.84779644012451,1.6732075214385986,68.84779644012451
,16.768,22.272,14.186,68.83287739753723,1.6671125888824463,68.83287739753723
,12.240,26.077,13.623,69.1136999130249,1.6661102771759033,69.1136999130249
,17.079,28.390,16.567,69.4735198020935,1.6704940795898438,69.4735198020935
,18.198,31.568,20.821,69.4220564365387,1.6814444065093994,69.4220564365387
,18.390,25.937,18.113,69.58578443527222,1.6721975803375244,69.58578443527222
,18.987,32.376,22.324,68.98321104049683,1.6714792251586914,68.98321104049683
,17.832,25.171,16.986,69.10949158668518,1.6685903072357178,69.10949158668518
,12.014,24.181,13.593,69.03901433944702,1.6666512489318848,69.03901433944702
mean,15.63616666666666666666,25.93870000000000000000,16.36936666666666666666,68.53848388989766466666,1.67322752475738525666,68.53848388989766466666
std dev.,2.17372736842093935628,4.33402784293471438853,3.41080147456413664675,2.26340029217115326897,.01172576488655993519,2.26340029217115326897
,15.63616666666666666666 +- 2.17372736842093935628,25.93870000000000000000 +- 4.33402784293471438853,16.36936666666666666666 +- 3.41080147456413664675,68.53848388989766466666 +- 2.26340029217115326897,1.67322752475738525666 +- .01172576488655993519,68.53848388989766466666 +- 2.26340029217115326897
 
 
PC,
,11.111,44.529,0.000,91.2407214641571,19.490864753723145,91.2407214641571
,11.704,44.632,2.113,89.10845041275024,19.52353525161743,89.10845041275024
,11.131,44.539,4.950,91.09549880027771,19.478790283203125,91.09549880027771
,11.111,44.529,0.000,91.76289939880371,19.453331232070923,91.76289939880371
,11.111,44.529,0.000,91.76823902130127,19.430039644241333,91.76823902130127
,11.111,44.529,0.000,92.1830940246582,19.381676197052002,92.1830940246582
,11.111,44.529,0.000,91.89663815498352,19.422810554504395,91.89663815498352
,11.111,44.529,0.000,91.53201484680176,19.440226316452026,91.53201484680176
,11.111,44.529,0.000,91.84598112106323,19.50459313392639,91.84598112106323
,11.111,44.529,0.000,92.06588745117188,19.532490015029907,92.06588745117188
,11.111,44.529,0.000,92.1831624507904,19.57987117767334,92.1831624507904
,11.111,44.529,0.000,92.39078140258789,19.442503929138184,92.39078140258789
,15.500,55.922,24.107,90.8465223312378,19.549004793167114,90.8465223312378
,11.111,44.529,0.000,92.49196457862854,19.559128284454346,92.49196457862854
,11.111,44.529,0.000,90.88422894477844,19.567079067230225,90.88422894477844
,11.111,44.529,0.000,92.95167446136475,19.453678131103516,92.95167446136475
,11.111,44.529,0.001,91.19345307350159,19.535377979278564,91.19345307350159
,11.111,44.529,0.000,92.10917854309082,19.562724590301514,92.10917854309082
,11.111,44.529,0.000,93.29256558418274,19.495704650878906,93.29256558418274
,11.111,44.529,0.000,94.12502264976501,19.567304849624634,94.12502264976501
,11.111,44.529,0.000,93.27257013320923,19.500733375549316,93.27257013320923
,11.111,44.529,0.000,94.04058480262756,19.536426544189453,94.04058480262756
,11.111,44.529,0.000,94.20809388160706,19.492915868759155,94.20809388160706
,11.111,44.529,0.000,93.90220975875854,19.426801204681396,93.90220975875854
,11.111,44.529,0.000,93.69460773468018,19.504901885986328,93.69460773468018
,19.747,47.814,24.496,93.5712513923645,19.49340844154358,93.5712513923645
,11.111,44.529,0.000,93.79964208602905,19.499170780181885,93.79964208602905
,11.111,44.529,0.000,94.1673104763031,19.49890685081482,94.1673104763031
,11.111,44.529,0.000,94.80892896652222,19.389305114746094,94.80892896652222
,11.366,45.191,1.570,94.12958216667175,19.44105100631714,94.12958216667175
mean,11.57410000000000000000,45.04410000000000000000,1.90790000000000000000,92.55209200382232633333,19.49181186358133953333,92.55209200382232633333
std dev.,1.71101376090316702046,2.10618760402138283340,6.06473731967565654323,1.31339530862113095025,.05330806310920712461,1.31339530862113095025
,11.57410000000000000000 +- 1.71101376090316702046,45.04410000000000000000 +- 2.10618760402138283340,1.90790000000000000000 +- 6.06473731967565654323,92.55209200382232633333 +- 1.31339530862113095025,19.49181186358133953333 +- .05330806310920712461,92.55209200382232633333 +- 1.31339530862113095025
 
 
SA,
,92.130,93.314,92.538,18.06796145439148,5.899216175079346,18.06796145439148
,97.457,95.673,95.175,16.615938663482666,5.935260057449341,16.615938663482666
,95.203,95.671,95.174,16.607537031173706,5.94790506362915,16.607537031173706
,96.931,95.449,94.926,16.585468530654907,5.937640905380249,16.585468530654907
,95.737,94.819,94.215,16.850889921188354,5.919361114501953,16.850889921188354
,95.083,94.238,93.565,16.87836265563965,5.938042640686035,16.87836265563965
,90.115,91.514,90.505,16.948041677474976,5.9502129554748535,16.948041677474976
,95.536,95.104,94.546,16.947959423065186,5.940439939498901,16.947959423065186
,95.407,95.675,95.182,16.859065055847168,5.934876203536987,16.859065055847168
,93.704,92.853,92.006,16.504451751708984,5.9365434646606445,16.504451751708984
,96.286,95.930,95.460,16.936802864074707,5.96248459815979,16.936802864074707
,96.582,95.550,95.038,16.80293607711792,5.961019277572632,16.80293607711792
,90.115,91.514,90.505,16.773784160614014,5.938227891921997,16.773784160614014
,96.219,95.784,95.308,16.822925090789795,5.936370134353638,16.822925090789795
,93.210,94.523,93.917,16.81426501274109,5.943736791610718,16.81426501274109
,92.654,94.296,93.643,16.867859363555908,5.937007904052734,16.867859363555908
,91.200,93.356,92.576,16.88077425956726,5.9421706199646,16.88077425956726
,89.454,93.160,92.384,16.76281237602234,5.934263706207275,16.76281237602234
,97.163,93.060,92.310,16.920686960220337,5.930875778198242,16.920686960220337
,91.737,94.084,93.416,16.757487058639526,5.941020250320435,16.757487058639526
,95.331,94.727,94.118,17.014833688735962,5.958694219589233,17.014833688735962
,96.651,95.219,94.670,16.9226233959198,5.920865535736084,16.9226233959198
,95.696,95.332,94.798,16.726372480392456,5.93398380279541,16.726372480392456
,95.148,92.557,91.668,16.924724340438843,5.950182199478149,16.924724340438843
,96.336,96.393,95.975,17.0167293548584,5.937504053115845,17.0167293548584
,97.665,96.465,96.070,16.98440718650818,5.937594175338745,16.98440718650818
,95.331,94.727,94.118,17.012475728988647,5.937475681304932,17.012475728988647
,97.335,96.361,95.949,17.1607666015625,5.946486711502075,17.1607666015625
,95.483,94.209,93.526,17.132262229919434,5.954230546951294,17.132262229919434
,93.008,92.274,91.388,17.041595697402954,5.936901092529297,17.041595697402954
