dataset,avg_accuracy,overall_accuracy,kappa,training_time,testing_time,total_time
PU_org,
,11.111,11.734,0.000,73.90744876861572,0.435075044631958,73.90744876861572
,11.111,43.619,0.000,70.9212167263031,0.43756723403930664,70.9212167263031
,10.801,42.403,-1.268,72.12914204597473,0.4425647258758545,72.12914204597473
,11.111,43.619,0.000,70.81040382385254,0.43575119972229004,70.81040382385254
,11.111,43.619,0.000,71.99596691131592,0.42076826095581055,71.99596691131592
,11.111,43.619,0.000,71.3335690498352,0.43091487884521484,71.3335690498352
,11.111,15.521,0.000,71.05545663833618,0.44307518005371094,71.05545663833618
,11.111,15.521,0.000,72.53950023651123,0.43279099464416504,72.53950023651123
,11.111,43.619,0.000,71.64181661605835,0.44207119941711426,71.64181661605835
,11.111,8.602,0.000,71.97217345237732,0.42856693267822266,71.97217345237732
,12.404,14.493,1.823,71.28717947006226,0.42079758644104004,71.28717947006226
,11.111,15.521,0.054,71.46522903442383,0.4379568099975586,71.46522903442383
,11.111,15.521,0.000,72.09866905212402,0.428910493850708,72.09866905212402
,20.040,42.543,22.629,71.74120473861694,0.43694162368774414,71.74120473861694
,14.960,7.387,2.437,71.80445885658264,0.43730831146240234,71.80445885658264
,11.111,11.734,0.000,71.25699210166931,0.4446268081665039,71.25699210166931
,11.111,43.619,0.000,71.98183488845825,0.43442416191101074,71.98183488845825
,11.111,7.153,0.000,71.47449374198914,0.43288373947143555,71.47449374198914
,11.111,43.619,0.000,72.07235288619995,0.4407999515533447,72.07235288619995
,11.111,43.619,0.000,71.0352292060852,0.42867088317871094,71.0352292060852
,11.111,43.619,0.000,72.09769678115845,0.4330015182495117,72.09769678115845
,14.356,44.273,3.303,71.1600410938263,0.44394469261169434,71.1600410938263
,11.111,43.619,0.000,72.15229296684265,0.44095611572265625,72.15229296684265
,12.220,13.698,1.571,72.0460991859436,0.4438765048980713,72.0460991859436
,11.111,43.619,0.000,72.09203028678894,0.441943883895874,72.09203028678894
,11.099,43.572,-0.056,71.56732225418091,0.43537139892578125,71.56732225418091
,11.111,43.619,0.000,72.03211903572083,0.43712830543518066,72.03211903572083
,11.111,43.619,0.000,72.01952385902405,0.4300386905670166,72.01952385902405
,11.111,43.619,0.294,72.00068235397339,0.42672181129455566,72.00068235397339
,11.111,4.909,0.000,73.0246353149414,0.4235210418701172,73.0246353149414
mean,11.71443333333333333333,30.84170000000000000000,1.02623333333333333333,71.82389271259307833333,.43496566613515217933,71.82389271259307833333
std dev.,1.79949888734490623900,15.71342615971025800354,4.10210293778961892864,.62505855371119821400,.00670555352314983389,.62505855371119821400
,11.71443333333333333333 +- 1.79949888734490623900,30.84170000000000000000 +- 15.71342615971025800354,1.02623333333333333333 +- 4.10210293778961892864,71.82389271259307833333 +- .62505855371119821400,.43496566613515217933 +- .00670555352314983389,71.82389271259307833333 +- .62505855371119821400
 
 
IP_org,
,84.131,94.542,93.764,37.15015769004822,0.09974122047424316,37.15015769004822
,83.621,93.567,92.672,32.66965055465698,0.10102534294128418,32.66965055465698
,86.235,92.398,91.296,32.223291635513306,0.09410881996154785,32.223291635513306
,83.621,93.567,92.672,32.36498165130615,0.10284638404846191,32.36498165130615
